created_at,entry_id,field1
2022-10-13 12:19:19 UTC,2552001,23.60
2022-10-13 12:20:26 UTC,2552002,23.70
2022-10-13 12:21:33 UTC,2552003,23.70
2022-10-13 12:22:35 UTC,2552004,23.70
2022-10-13 12:23:41 UTC,2552005,23.80
2022-10-13 12:24:44 UTC,2552006,23.80
2022-10-13 12:25:50 UTC,2552007,23.80
2022-10-13 12:26:57 UTC,2552008,23.80
2022-10-13 12:28:03 UTC,2552009,
2022-10-13 12:29:07 UTC,2552010,
2022-10-13 12:30:10 UTC,2552011,23.80
2022-10-13 12:31:14 UTC,2552012,
2022-10-13 12:32:18 UTC,2552013,
2022-10-13 12:33:22 UTC,2552014,
2022-10-13 12:34:26 UTC,2552015,
2022-10-13 12:35:30 UTC,2552016,
2022-10-13 12:36:34 UTC,2552017,
2022-10-13 12:37:38 UTC,2552018,
2022-10-13 12:38:42 UTC,2552019,
2022-10-13 12:39:46 UTC,2552020,
2022-10-13 12:40:50 UTC,2552021,
2022-10-13 12:41:54 UTC,2552022,
2022-10-13 12:42:58 UTC,2552023,
2022-10-13 12:44:02 UTC,2552024,
2022-10-13 12:45:07 UTC,2552025,
2022-10-13 12:46:11 UTC,2552026,
2022-10-13 12:47:15 UTC,2552027,
2022-10-13 12:48:19 UTC,2552028,
2022-10-13 12:48:35 UTC,2552029,24.00
2022-10-13 12:49:23 UTC,2552030,
2022-10-13 12:49:42 UTC,2552031,23.90
2022-10-13 12:50:27 UTC,2552032,
2022-10-13 12:50:42 UTC,2552033,
2022-10-13 12:51:31 UTC,2552034,
2022-10-13 12:51:46 UTC,2552035,
2022-10-13 12:52:35 UTC,2552036,
2022-10-13 12:52:50 UTC,2552037,
2022-10-13 12:53:39 UTC,2552038,
2022-10-13 12:53:54 UTC,2552039,
2022-10-13 12:54:42 UTC,2552040,
2022-10-13 12:54:58 UTC,2552041,
2022-10-13 12:55:46 UTC,2552042,
2022-10-13 12:56:02 UTC,2552043,
2022-10-13 12:56:50 UTC,2552044,
2022-10-13 12:57:05 UTC,2552045,
2022-10-13 12:57:55 UTC,2552046,
2022-10-13 12:58:27 UTC,2552047,24.00
2022-10-13 12:58:59 UTC,2552048,
2022-10-13 12:59:33 UTC,2552049,23.90
2022-10-13 13:00:03 UTC,2552050,
2022-10-13 13:00:40 UTC,2552051,24.00
2022-10-13 13:01:06 UTC,2552052,
2022-10-13 13:01:47 UTC,2552053,24.00
2022-10-13 13:02:10 UTC,2552054,
2022-10-13 13:02:53 UTC,2552055,24.00
2022-10-13 13:03:14 UTC,2552056,
2022-10-13 13:04:00 UTC,2552057,24.00
2022-10-13 13:04:18 UTC,2552058,
2022-10-13 13:05:06 UTC,2552059,24.00
2022-10-13 13:05:22 UTC,2552060,
2022-10-13 13:06:13 UTC,2552061,24.00
2022-10-13 13:06:40 UTC,2552062,
2022-10-13 13:07:19 UTC,2552063,23.90
2022-10-13 13:07:44 UTC,2552064,
2022-10-13 13:08:26 UTC,2552065,24.00
2022-10-13 13:08:48 UTC,2552066,
2022-10-13 13:09:28 UTC,2552067,23.90
2022-10-13 13:09:52 UTC,2552068,
2022-10-13 13:10:35 UTC,2552069,23.90
2022-10-13 13:10:56 UTC,2552070,
2022-10-13 13:11:41 UTC,2552071,23.90
2022-10-13 13:12:00 UTC,2552072,
2022-10-13 13:12:48 UTC,2552073,23.90
2022-10-13 13:13:04 UTC,2552074,
2022-10-13 13:13:52 UTC,2552075,
2022-10-13 13:14:07 UTC,2552076,
2022-10-13 13:14:56 UTC,2552077,
2022-10-13 13:15:11 UTC,2552078,
2022-10-13 13:16:00 UTC,2552079,
2022-10-13 13:16:15 UTC,2552080,
2022-10-13 13:17:04 UTC,2552081,
2022-10-13 13:17:19 UTC,2552082,
2022-10-13 13:18:07 UTC,2552083,
2022-10-13 13:18:23 UTC,2552084,
2022-10-13 13:19:11 UTC,2552085,
2022-10-13 13:19:30 UTC,2552086,
2022-10-13 13:20:15 UTC,2552087,
2022-10-13 13:20:31 UTC,2552088,23.90
2022-10-13 13:21:19 UTC,2552089,
2022-10-13 13:21:37 UTC,2552090,23.90
2022-10-13 13:22:23 UTC,2552091,
2022-10-13 13:22:40 UTC,2552092,23.90
2022-10-13 13:23:26 UTC,2552093,
2022-10-13 13:23:42 UTC,2552094,24.00
2022-10-13 13:24:30 UTC,2552095,
2022-10-13 13:24:50 UTC,2552096,23.90
2022-10-13 13:25:34 UTC,2552097,
2022-10-13 13:25:53 UTC,2552098,23.90
2022-10-13 13:26:39 UTC,2552099,
2022-10-13 13:27:02 UTC,2552100,24.00
